Marca_Temporal,Ciudad,Barrio,Tipo_Vivienda,Integrantes_Familia,Tipo_Mascotas,Perros_Macho,Perros_Hembra,Gatos_Macho,Gatos_Hembra,Mascota_Castrada,Donde_Castracion,Sabe_Castracion_Gratuita,Vacunadas,Desparasitadas,Sabe_Vacunas_Anuales,Como_Viven_Mascotas,Frecuencia_Callejeros,Animal_Perdido_Frecuente,Municipio_Presente,Humano_Responsable,Mascota_Gatos,Mascota_Perros,Vive_Salen_solos_a_la_calle,Vive_Tienen_identificador,Vive_Viven_dentro_de_su_hogar,CastEn_En_forma_particular,CastEn_Municipio,CastEn_No_se_encuentra_castrada.,Mun_Castraciones_Masivas,Mun_Control_de_identificación,Mun_Educación,Mun_No_es_necesaria_la_participación_del_municipio
2026-03-11 21:23:41,Otra,Otro,Casa Propia,3.0,Perros,1.0,,,,Si,Municipio,Si,No,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,0,1,0,0,1,0,1,0,1,0,1,0
2026-03-11 21:24:16,San Francisco,Independencia,Casa Propia,4.0,Gatos;Perros,1.0,,1.0,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,1,1,0,0,1,0,0,1,1,0,1,0
2026-03-11 21:27:56,Otra,Otro,Casa Propia,6.0,Gatos;Perros,,2.0,,1.0,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Castraciones Masivas;Educación,Si,1,1,0,0,1,1,0,0,1,0,1,0
2026-03-11 21:46:02,San Francisco,Magdalena II,Casa Propia,2.0,Gatos,,,,2.0,Si,En forma particular;Municipio,Si,Si,Si,No,Salen solos a la calle;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,0,1,0,1,1,1,0,1,1,1,0
2026-03-11 21:47:34,San Francisco,Consolata,Casa Propia,4.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas,Si,0,1,0,0,1,0,0,1,1,0,0,0
2026-03-11 21:48:33,San Francisco,José Hernández,Casa Propia,4.0,Perros,,2.0,,,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Educación,Si,0,1,0,0,1,1,0,0,0,0,1,0
2026-03-11 21:53:50,San Francisco,Sarmiento,Casa Propia,4.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,0,1,1,1,1,0
2026-03-11 21:55:45,San Francisco,Centro,Departamento En Alquiler,4.0,Gatos,,,1.0,1.0,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Nunca,Perros,Castraciones Masivas;Educación,Si,1,0,0,0,1,0,1,0,1,0,1,0
2026-03-11 21:58:12,San Francisco,Barrio Parque,Casa Propia,2.0,Gatos,,,3.0,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Control de identificación;Educación,Si,1,0,0,0,1,1,0,0,0,1,1,0
2026-03-11 21:59:06,San Francisco,Consolata,Casa Propia,5.0,Gatos,,,,1.0,Si,En forma particular,Si,Si,Si,Si,Salen solos a la calle;Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,1,0,1,0,1,1,0,0,1,0,1,0
